Title,abstractText,meshMajor,pmid,meshid,meshroot,A,B,C,D,E,F,G,H,I,J,L,M,N,Z
"Big or small, room for all.","In today's world of high demand, nurses have more of an opportunity than ever to get just what they want. Nurses find rewards in what they do no matter where they work. SH profiles nurses from two Texas hospitals.","['Career Choice', 'Health Facility Size', 'Job Satisfaction', 'Nursing Staff, Hospital', 'Personnel Selection', 'Salaries and Fringe Benefits', 'Texas']",10114754,"[['F02.463.785.373.346.400'], ['N02.278.306', 'N05.300.430.410'], ['F02.784.692.425'], ['M01.526.485.680.490', 'M01.526.485.740.523', 'N02.360.680.490', 'N02.360.740.523'], ['N04.452.677.500'], ['N01.824.417.700', 'N04.452.677.800'], ['Z01.107.567.875.760.750']]","['Psychiatry and Psychology [F]', 'Health Care [N]', 'Named Groups [M]', 'Geographicals [Z]']",0,0,0,0,0,1,0,0,0,0,0,1,1,1
Ministers' perceptions of church-based programs to provide depression care for African Americans.,"African Americans, compared with white Americans, underutilize mental health services for major depressive disorder. Church-based programs are effective in reducing racial disparities in health; however, the literature on church-based programs for depression is limited. The purpose of this study was to explore ministers' perceptions about depression and the feasibility of utilizing the church to implement evidence-based assessments and psychotherapy for depression. From August 2011 to March 2012, data were collected from three focus groups conducted with adult ministers (n = 21) from a black mega-church in New York City. Using consensual qualitative research to analyze data, eight main domains emerged: definition of depression, identification of depression, causal factors, perceived responsibilities, limitations, assessment, group interpersonal psychotherapy, and stigma. A major finding was that ministers described depression within a context of vast suffering due to socioeconomic inequalities (e.g., financial strain and unstable housing) in many African American communities. Implementing evidence-based assessments and psychotherapy in a church was deemed feasible if principles of community-based participatory research were utilized and safeguards to protect participants' confidentiality were employed. In conclusion, ministers were enthusiastic about the possibility of implementing church-based programs for depression care and emphasized partnering with academic researchers throughout the implementation process. More research is needed to identify effective, multidisciplinary interventions that address social inequalities which contribute to racial disparities in depression treatment.","['African Americans', 'Depressive Disorder, Major', 'Female', 'Focus Groups', 'Humans', 'Male', 'Mental Health Services', 'Middle Aged', 'New York City', 'Professional Role', 'Protestantism', 'Psychotherapy', 'Religion and Psychology']",23471573,"[['M01.686.508.100.100', 'M01.686.754.100'], ['F03.600.300.375'], ['E05.318.308.112', 'N05.715.360.300.269', 'N06.850.520.308.112'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['F04.408', 'N02.421.461'], ['M01.060.116.630'], ['Z01.107.567.875.350.530.530', 'Z01.107.567.875.500.530.530', 'Z01.433.741'], ['F01.829.316.616.625'], ['K01.844.188.644'], ['F04.754'], ['F02.880', 'K01.844.664']]","['Named Groups [M]', 'Psychiatry and Psychology [F]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Health Care [N]', 'Organisms [B]', 'Geographicals [Z]', 'Humanities [K]']",0,1,0,0,1,1,0,0,0,0,0,1,1,1
"The randomized fast-track trial in palliative care: role, utility and ethics in the evaluation of interventions in palliative care?","BACKGROUND: Randomized trials are the gold standard method for evaluating treatments and services in health care. However, they are often difficult to complete in palliative care, and suffer from poor recruitment.AIM: To introduce the randomized fast-track trial and its potential use in palliative care.METHOD: The randomized fast-track trial is a form of randomized trial with two periods. In the first, the trial runs as a normal randomized trial. In the second period, the standard (control) group also are offered the intervention. The design is adapted from a 'wait list' design (sometimes called a deferred entry or delayed intervention trial) but is both less confusing for patients, who are not on waiting lists, and more appropriate to the nature of services offered. The methodology has the advantage of being more acceptable to many patients, clinicians and ethics committees than standard randomized trials, because all patients will eventually be offered the intervention. Yet it has the rigour of a traditional randomized trial. However, care is needed to ensure the correct timing for the first period, before the standard group receive the intervention. The analysis of data in the second period is complex.CONCLUSION: The fast-track trial has been used successfully in palliative care among patients severely affected by multiple sclerosis, chronic obstructive pulmonary disease and cancer. It is best suited to evaluations of palliative care services among patients who have longer prognoses, for example of several months or more although it has been used in people with prognoses of weeks.","['Data Collection', 'Evaluation Studies as Topic', 'Humans', 'Multiple Sclerosis', 'Palliative Care', 'Randomized Controlled Trials as Topic', 'Research Design', 'Waiting Lists', 'Workforce']",21993806,"[['E05.318.308', 'L01.399.250', 'N05.715.360.300', 'N06.850.520.308'], ['E05.337', 'N05.715.360.335'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['C10.114.375.500', 'C10.314.350.500', 'C20.111.258.250.500'], ['E02.760.666', 'N02.421.585.666'], ['E05.318.372.250.250.365.500', 'N05.715.360.330.250.250.365.500', 'N06.850.520.450.250.250.365.500'], ['E05.581.500', 'H01.770.644.728'], ['N04.452.095.738'], ['N04.452.525']]","['Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Information Science [L]', 'Health Care [N]', 'Organisms [B]', 'Diseases [C]', 'Disciplines and Occupations [H]']",0,1,1,0,1,0,0,1,0,0,1,0,1,0
Comparison of an auto-stereoscopic display and polarized stereoscopic projection for macroscopic pathology.,"We investigated stereoscopic imaging for gross examination in telepathology. A conventional macroscopic station was equipped with two cameras mounted 6.5 cm apart and images were produced of 30 different routine pathology specimens. Still images were displayed on a three-dimensional auto-stereoscopic display with a lenticular plate (which did not require the viewer to wear special glasses) and as a three-dimensional projection that required the viewer to wear glasses with polarized lenses. Nine observers (pathologists, laboratory technicians and engineers) viewed the three-dimensional images first on the auto-stereoscopic display and then with polarized projection. The observers scored the images for spatial reproduction, surface structure, proportions, colour and sharpness (10 indices in total, each rated on a five-point Likert scale of 1-5, with lower scores indicating better quality). Results were compared with those from five observers who had previously viewed the corresponding two-dimensional images on a conventional (two-dimensional) display. The mean scores across each of the 10 indices were 2.9 (two-dimensional display), 2.1 (auto-stereoscopic display) and 1.6 (polarized projection). All observers stated that the polarized projection had superior image quality with regard to resolution, colour and surface structures. The results obtained in the present study with still images have encouraged us to integrate stereoscopy into a dynamic telepathology system.","['Automation', 'Equipment Design', 'Humans', 'Image Processing, Computer-Assisted', 'Pathology']",15273030,"[['J01.897.104'], ['E05.320'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['L01.224.308'], ['H02.403.650']]","['Technology, Industry, and Agriculture [J]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Organisms [B]', 'Information Science [L]', 'Disciplines and Occupations [H]']",0,1,0,0,1,0,0,1,0,1,1,0,0,0
Perceptions of Hospital-Dependent Patients on Their Needs for Hospitalization.,"In the United States, older adults account for a significant proportion of hospitalizations, and a subset become hospital-dependent, for reasons that are unclear. We conducted a qualitative study to explore these individuals' perspectives on their need for hospitalizations. Twenty patients hospitalized at an academic medical center underwent semistructured qualitative interviews. Criteria for selection included age 65 and older, at least three hospitalizations over six months, admission to the medical service at the time of the study, did not meet criteria for chronic critical illness, was not comfort measures only, and did not have a conservator. Interviews were audiotaped, transcribed, and inductively analyzed. The major themes derived were the necessity and inevitability of hospitalizations (""You have to bring me in here""), feeling safe in the hospital (""It makes me feel more secure""), patients hospitalized despite having outside medical and social support (""I have everything""), and inadequate goals-of-care discussions (""It just doesn't occur to me""). Results suggested that candid discussions about health trajectories are needed to ensure hospitalization is consistent with the patient's realistic health priorities. Journal of Hospital Medicine 2017;12:450-453.","['Aged', 'Aged, 80 and over', 'Female', 'Health Services Needs and Demand', 'Hospitalization', 'Humans', 'Male', 'Patient Satisfaction', 'Perception']",28574536,"[['M01.060.116.100'], ['M01.060.116.100.080'], ['N03.349.380.420', 'N05.300.450'], ['E02.760.400', 'N02.421.585.400'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['F01.100.150.750.625', 'F01.145.488.887.625', 'N04.452.822.700', 'N05.300.150.800.625', 'N05.715.360.600'], ['F02.463.593']]","['Named Groups [M]', 'Health Care [N]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Organisms [B]', 'Psychiatry and Psychology [F]']",0,1,0,0,1,1,0,0,0,0,0,1,1,0
Three weeks of early-onset exercise prolongs obesity resistance in DIO rats after exercise cessation.,"We assessed the effect of early-onset exercise as a means of preventing childhood obesity using juvenile male rats selectively bred to develop diet-induced obesity (DIO) or to be diet resistant (DR) when fed a 31% fat high-energy diet. Voluntary wheel running begun at 36 days of age selectively reduced adiposity in DIO vs. DR rats. Other 4-wk-old DIO rats fed a high-energy diet and exercised (Ex) for 13 wk increased their core temperature, gained 22% less body weight, and had 39% lighter fat pads compared with sedentary (Sed) rats. When wheels were removed after 6 wk (6 wk Ex/7 wk Sed), rats gained less body weight over the next 7 wk than Sed rats and still had comparable adipose pad weights to 13-wk-exercised rats. In fact, only 3 wk of exercise sufficed to prevent obesity for 10 wk after wheel removal. Terminally, the 6-wk-Ex/7-wk-Sed rats had a 55% increase in arcuate nucleus proopiomelanocortin mRNA expression vs. Sed rats, suggesting that this contributed to their sustained obesity resistance. Finally, when Sed rats were calorically restricted for 6 wk to weight match them to Ex rats (6 wk Rstr/7 wk Al), they increased their intake and body weight when fed ad libitum and, after 7 wk more, had higher leptin levels and adiposity than Sed rats. Thus, early-onset exercise may favorably alter, while early caloric restriction may unfavorably influence, the development of the hypothalamic pathways controlling energy homeostasis during brain development.","['Adipose Tissue', 'Animal Feed', 'Animals', 'Body Weight', 'Brain-Derived Neurotrophic Factor', 'Caloric Restriction', 'Eating', 'Hypothalamus', 'Insulin', 'Leptin', 'Male', 'Neuropeptide Y', 'Obesity', 'Physical Conditioning, Animal', 'Pro-Opiomelanocortin', 'RNA, Messenger', 'Rats', 'Rats, Inbred Strains', 'Receptors, Leptin', 'Suppressor of Cytokine Signaling 3 Protein', 'Suppressor of Cytokine Signaling Proteins']",17989137,"[['A10.165.114'], ['G07.203.300.300.100', 'J02.500.300.100'], ['B01.050'], ['C23.888.144', 'E01.370.600.115.100.160.120', 'E05.041.124.160.750', 'G07.100.100.160.120', 'G07.345.249.314.120'], ['D12.644.276.860.100', 'D12.776.467.860.100', 'D12.776.631.600.100', 'D23.529.850.100'], ['E02.642.249.200', 'G07.203.650.240.340.150'], ['G07.203.650.283', 'G10.261.330'], ['A08.186.211.180.497', 'A08.186.211.200.317.357'], ['D06.472.699.587.200.500.625', 'D12.644.548.586.200.500.625'], ['D06.472.699.042.500', 'D12.644.276.024.500', 'D12.644.548.011.500', 'D12.776.467.024.500', 'D23.529.024.500'], ['D12.644.400.500', 'D12.776.631.650.500'], ['C18.654.726.500', 'C23.888.144.699.500', 'E01.370.600.115.100.160.120.699.500', 'G07.100.100.160.120.699.500'], ['G11.427.410.698.277.280'], ['D06.472.699.327.935', 'D06.472.699.631.525.600', 'D12.644.400.400.935', 'D12.644.548.365.935', 'D12.644.548.691.525.690', 'D12.776.631.650.405.935', 'D12.776.811.800'], ['D13.444.735.544'], ['B01.050.150.900.649.313.992.635.505.700'], ['B01.050.050.199.520.760', 'B01.050.150.900.649.313.992.635.505.700.400'], ['D12.776.543.750.650.500'], ['D12.644.360.024.374.750', 'D12.776.157.057.249.750', 'D12.776.476.024.437.750'], ['D12.644.360.024.374', 'D12.776.157.057.249', 'D12.776.476.024.437']]","['Anatomy [A]', 'Phenomena and Processes [G]', 'Technology, Industry, and Agriculture [J]', 'Organisms [B]', 'Diseases [C]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Chemicals and Drugs [D]']",1,1,1,1,1,0,1,0,0,1,0,0,0,0
Identification of mimotopes by screening of a bacterially displayed random peptide library and its use in eliciting an immune response to native HBV-preS.,"Bacterially-displayed peptide libraries have been widely used as an alternative to phage-displayed peptide libraries in screening epitopes or mimotopes of antibodies. Using a protective monoclonal antibody (mAb) 3B9 against hepatitis B virus (HBV) preS protein as target, mimotopes were successfully screened from a FliTrx random peptide library. To monitor the enrichment ratios of each round and to isolate higher affinity clones from the library, a modified procedure was performed in which the titer of eluted bacteria from an antibody-coated well (P value) was compared with that from a non-coated well (N value). After sufficient enrichment of the library, bacterial colonies were randomly picked and identified further by the monoclonal bacterial P/N value assay and Western blotting analysis. Immunization of mice with the selected bacterially-displayed mimotopes, including the enriched populations without clone identification, elicited strong specific immune responses against the recombinant preS protein. The present study provides a potentially rapid and effective strategy for the development of engineered live bacterial vaccines without the need for information about the aetiological agents or their antigens.","['Animals', 'Antibodies, Monoclonal', 'Antibodies, Viral', 'Blotting, Western', 'Cloning, Molecular', 'DNA', 'Enzyme-Linked Immunosorbent Assay', 'Epitopes', 'Female', 'Hepatitis B Surface Antigens', 'Hepatitis B virus', 'Mice', 'Mice, Inbred BALB C', 'Peptide Library', 'Protein Precursors']",14505920,"[['B01.050'], ['D12.776.124.486.485.114.224', 'D12.776.124.790.651.114.224', 'D12.776.377.715.548.114.224'], ['D12.776.124.486.485.114.254', 'D12.776.124.790.651.114.254', 'D12.776.377.715.548.114.254'], ['E05.196.401.143', 'E05.301.300.096', 'E05.478.566.320.200', 'E05.601.262', 'E05.601.470.320.200'], ['E05.393.220'], ['D13.444.308'], ['E05.478.566.350.170', 'E05.478.566.380.360', 'E05.478.583.400.170', 'E05.601.470.350.170', 'E05.601.470.380.360'], ['D23.050.550'], ['D23.050.327.495.500.475'], ['B04.280.375.650.425', 'B04.450.390.650.425'], ['B01.050.150.900.649.313.992.635.505.500'], ['B01.050.050.199.520.520.338', 'B01.050.150.900.649.313.992.635.505.500.400.338'], ['D12.644.555', 'G02.111.570.060.620', 'G05.360.325.640'], ['D12.776.811']]","['Organisms [B]', 'Chemicals and Drugs [D]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Phenomena and Processes [G]']",0,1,0,1,1,0,1,0,0,0,0,0,0,0
Restenosis after transluminal coronary angioplasty detected with exercise-gated radionuclide ventriculography.,"Forty-one patients were evaluated with exercise-gated radionuclide ventriculography before and within 4 days after successful transluminal coronary angioplasty and 4 to 12 months later. Patients were subgrouped according to the degree of restenosis demonstrated angiographically at 4 to 12 months (Group I [n = 23]: less than or equal to 20%; Group II [n = 10]: greater than 20% but less than 50%; Group III [n = 8]: greater than or equal to 50%). Patients with abnormal findings on gated radionuclide ventriculography (less than 5 point increase in ejection fraction or wall motion deterioration) early after angioplasty were eventually found to have a greater degree of restenosis than were patients with normal findings (41.2 +/- 30.3 versus 19.0 +/- 25.4% restenosis, p less than 0.0001). The accuracy of abnormal radionuclide ventriculography in predicting 50% or greater restenosis was 73% immediately after angioplasty and 77% at the time of follow-up angiography. Gated radionuclide ventriculographic results were abnormal in 5% of Group I patients compared with 75% of Group III patients (p less than 0.01) early after angioplasty; at late follow-up, they were abnormal in 27% of Group I patients compared with 88% of Group III patients (p less than 0.01). Group I patients had a greater increase in ejection fraction than did Group III patients at early (+11.3 +/- 7.5 versus + 3.5 +/- 6.5 points, p less than 0.01) and late (+11.8 +/- 7.8 versus -1.9 +/- 8.7 points, p less than 0.0005) follow-up. It is concluded that gated radionuclide ventriculography is useful in predicting coronary restenosis after transluminal coronary angioplasty.","['Aged', 'Angioplasty, Balloon', 'Constriction, Pathologic', 'Coronary Disease', 'Coronary Vessels', 'Female', 'Follow-Up Studies', 'Heart', 'Humans', 'Male', 'Middle Aged', 'Physical Exertion', 'Radionuclide Imaging', 'Recurrence', 'Sodium Pertechnetate Tc 99m', 'Stroke Volume', 'Time Factors']",6094635,"[['M01.060.116.100'], ['E02.148.050.060', 'E04.100.814.529.124.060', 'E04.502.382.124.060', 'E05.157.016.060'], ['C23.300.287'], ['C14.280.647.250', 'C14.907.585.250'], ['A07.015.114.269', 'A07.015.908.194'], ['E05.318.372.500.750.249', 'N05.715.360.330.500.750.350', 'N06.850.520.450.500.750.350'], ['A07.541'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['M01.060.116.630'], ['G11.427.683'], ['E01.370.350.710', 'E01.370.384.730'], ['C23.550.291.937'], ['D01.925.800'], ['E01.370.370.380.150.700', 'G09.330.380.124.882'], ['G01.910.857']]","['Named Groups [M]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Diseases [C]', 'Anatomy [A]', 'Health Care [N]', 'Organisms [B]', 'Phenomena and Processes [G]', 'Chemicals and Drugs [D]']",1,1,1,1,1,0,1,0,0,0,0,1,1,0
Influence of Block Copolymerization on the Antifreeze Protein Mimetic Ice Recrystallization Inhibition Activity of Poly(vinyl alcohol).,"Antifreeze (glyco) proteins are produced by many cold-acclimatized species to enable them to survive subzero temperatures. These proteins have multiple macroscopic effects on ice crystal growth which makes them appealing for low-temperature applications-from cellular cryopreservation to food storage. Poly(vinyl alcohol) has remarkable ice recrystallization inhibition activity, but its mode of action is uncertain as is the extent at which it can be incorporated into other high-order structures. Here the synthesis and characterization of well-defined block copolymers containing poly(vinyl alcohol) and poly(vinylpyrrolidone) by RAFT/MADIX polymerization is reported, as new antifreeze protein mimetics. The effect of adding a large second hydrophilic block is studied across a range of compositions, and it is found to be a passive component in ice recrystallization inhibition assays, enabling retention of all activity. In the extreme case, a block copolymer with only 10% poly(vinyl alcohol) was found to retain all activity, where statistical copolymers of PVA lose all activity with very minor changes to composition. These findings present a new method to increase the complexity of antifreeze protein mimetic materials, while retaining activity, and also to help understand the underlying mechanisms of action.","['Antifreeze Proteins', 'Biomimetic Materials', 'Cryoprotective Agents', 'Crystallization', 'Hydrophobic and Hydrophilic Interactions', 'Ice', 'Polymerization', 'Polyvinyl Alcohol']",27476873,"[['D12.776.053'], ['J01.637.087'], ['D27.505.696.706.320', 'D27.720.799.180'], ['E05.196.300', 'G02.171'], ['G02.409'], ['D01.045.250.875.400', 'D01.248.497.158.459.650.400', 'D01.650.550.925.400', 'G16.500.275.410', 'G16.500.750.775.342', 'N06.230.291'], ['G02.750'], ['D02.033.750', 'D02.455.326.271.884.533.532', 'D05.750.716.721.616', 'D25.720.716.721.616', 'J01.637.051.720.716.721.616']]","['Chemicals and Drugs [D]', 'Technology, Industry, and Agriculture [J]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Phenomena and Processes [G]', 'Health Care [N]']",0,0,0,1,1,0,1,0,0,1,0,0,1,0
"Penile cancer: importance of circumcision, human papillomavirus and smoking in in situ and invasive disease.","Few population-based case-control studies have assessed etiologic factors for penile cancer. Past infection with high-risk human papillomavirus (HPV) is a known risk factor for penile cancer; however, few previous studies have related the HPV DNA status of the tumor to potential demographic and behavioral risk factors for the disease or evaluated whether in situ and invasive penile cancer share risk factors. Little information is available on the role and timing of circumcision in the etiology of penile cancer. We conducted a population-based case-control study in western Washington state that included 137 men diagnosed with in situ (n = 75) or invasive (n = 62) penile cancer between January 1, 1979, and December 31, 1998, and 671 control men identified through random digit dialing. Cases and controls were interviewed in person and provided peripheral blood samples. Case and control blood samples were tested for antibodies to HPV16 and HSV-2, and tumor specimens from cases were tested for HPV DNA. Men not circumcised during childhood were at increased risk of invasive (OR = 2.3, 95% CI 1.3-4.1) but not in situ (OR = 1.1, 95% CI 0.6-1.8) penile cancer. Approximately 35% of men with penile cancer who had not been circumcised in childhood reported a history of phimosis compared to 7.6% of controls (OR = 7.4, 95% CI 3.7-15.0). Penile conditions such as tear, rash and injury were associated with increased risk of disease. Among men not circumcised in childhood, phimosis was strongly associated with development of invasive penile cancer (OR = 11.4, 95% CI 5.0-25.9). When we restricted our analysis to men who did not have phimosis, the risk of invasive penile cancer associated with not having been circumcised in childhood was not elevated (OR = 0.5, 95% CI 0.1-2.5). Cigarette smoking was associated with a 4.5-fold risk (95% CI 2.0-10.1) of invasive penile cancer. HPV DNA was detected in 79.8% of tumor specimens, and 69.1% of tumors were HPV16-positive. The proportion of HPV DNA-positive tumors did not vary by any risk factors evaluated. Many risk factors were common for both in situ and invasive disease. However, 3 factors that did not increase the risk for in situ cancer proved significant risk factors for invasive penile cancer: lack of circumcision during childhood, phimosis and cigarette smoking. The high percentage of HPV DNA-positive tumors in our study is consistent with a strong association between HPV infection and the development of penile cancer regardless of circumcision status. Circumcision in early childhood may help prevent penile cancer by eliminating phimosis, a significant risk factor for the disease.","['Adolescent', 'Adult', 'Aged', 'Case-Control Studies', 'Circumcision, Male', 'DNA, Viral', 'Humans', 'Male', 'Middle Aged', 'Neoplasm Invasiveness', 'Papillomavirus Infections', 'Penile Neoplasms', 'Phimosis', 'Risk Factors', 'Smoking']",15825185,"[['M01.060.057'], ['M01.060.116'], ['M01.060.116.100'], ['E05.318.372.500.500', 'N05.715.360.330.500.500', 'N06.850.520.450.500.500'], ['E02.218.085.170', 'E04.085.170', 'E04.950.774.860.226'], ['D13.444.308.568'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['M01.060.116.630'], ['C04.697.645', 'C23.550.727.645'], ['C01.925.256.650', 'C01.925.928.725'], ['C04.588.945.440.715', 'C12.294.260.500', 'C12.294.494.591', 'C12.758.409.500'], ['C12.294.494.684'], ['E05.318.740.600.800.725', 'N05.715.350.200.700', 'N05.715.360.750.625.700.700', 'N06.850.490.625.750', 'N06.850.520.830.600.800.725'], ['F01.145.805']]","['Named Groups [M]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Health Care [N]', 'Chemicals and Drugs [D]', 'Organisms [B]', 'Diseases [C]', 'Psychiatry and Psychology [F]']",0,1,1,1,1,1,0,0,0,0,0,1,1,0
How--and why--to request an autopsy.,"Autopsy remains the touch-stone of diagnosis, but clinicians are often reluctant to request the procedure because of their discomfort in approaching the family. Fundamental to a successful autopsy request is sensitivity for the family's feelings, which bespeaks respect for the deceased and the family. For example, in announcing the death and requesting autopsy, the clinician should bring the family to the hospital and talk with them privately. If they have questions or reservations about autopsy, the clinician should answer honestly and simply, stressing the benefits of the procedure to the family and society as a whole. Since the manner of request influences the family's decision in about one third of cases, efforts at overcoming personal reluctance in requesting autopsy are worthwhile. Clinical excellence develops through effort and practice in this activity as in any other.","['Autopsy', 'Communication', 'Death', 'Family', 'Informed Consent', 'Mortuary Practice', 'Professional-Family Relations']",3975184,"[['E01.370.060', 'E05.070', 'I01.198.780.937.120'], ['F01.145.209', 'L01.143'], ['C23.550.260'], ['F01.829.263', 'I01.880.853.150'], ['I01.880.604.473.650.718', 'I01.880.604.583.427', 'N03.706.437.650.312', 'N03.706.535.489'], ['H02.438'], ['F01.829.401.550']]","['Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Anthropology, Education, Sociology, and Social Phenomena [I]', 'Psychiatry and Psychology [F]', 'Information Science [L]', 'Diseases [C]', 'Health Care [N]', 'Disciplines and Occupations [H]']",0,0,1,0,1,1,0,1,1,0,1,0,1,0
Characterization of acetate transport in colorectal cancer cells and potential therapeutic implications.,"Acetate, together with other short chain fatty acids has been implicated in colorectal cancer (CRC) prevention/therapy. Acetate was shown to induce apoptosis in CRC cells. The precise mechanism underlying acetate transport across CRC cells membrane, that may be implicated in its selectivity towards CRC cells, is not fully understood and was addressed here. We also assessed the effect of acetate in CRC glycolytic metabolism and explored its use in combination with the glycolytic inhibitor 3-bromopyruvate (3BP). We provide evidence that acetate enters CRC cells by the secondary active transporters MCT1 and/or MCT2 and SMCT1 as well as by facilitated diffusion via aquaporins. CRC cell exposure to acetate upregulates the expression of MCT1, MCT4 and CD147, while promoting MCT1 plasma membrane localization. We also observed that acetate increases CRC cell glycolytic phenotype and that acetate-induced apoptosis and anti-proliferative effect was potentiated by 3BP. Our data suggest that acetate selectivity towards CRC cells might be explained by the fact that aquaporins and MCTs are found overexpressed in CRC clinical cases. Our work highlights the importance that acetate transport regulation has in the use of drugs such as 3BP as a new therapeutic strategy for CRC.","['Acetates', 'Biological Transport', 'Cell Line, Tumor', 'Colorectal Neoplasms', 'Glycolysis', 'Humans', 'Monocarboxylic Acid Transporters', 'Muscle Proteins', 'Pyruvates', 'Symporters']",28874966,"[['D02.241.081.018', 'D10.251.400.045'], ['G03.143'], ['A11.251.210.190', 'A11.251.860.180'], ['C04.588.274.476.411.307', 'C06.301.371.411.307', 'C06.405.249.411.307', 'C06.405.469.158.356', 'C06.405.469.491.307', 'C06.405.469.860.180'], ['G02.111.158.750', 'G03.191.750', 'G03.295.436', 'G03.493.360'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['D12.776.157.530.450.074.500.400', 'D12.776.543.585.450.074.500.300'], ['D12.776.210.500'], ['D02.241.755.812'], ['D12.776.157.530.450.625', 'D12.776.543.585.450.625']]","['Chemicals and Drugs [D]', 'Phenomena and Processes [G]', 'Anatomy [A]', 'Diseases [C]', 'Organisms [B]']",1,1,1,1,0,0,1,0,0,0,0,0,0,0
[Performance of the Hemoccult test in the screening of colorectal cancer and adenoma. Results of 5 screening campaigns in Sa?ne-et-Loire].,"OBJECTIVES: The aim of this population-based study was to specify the positivity rate, the positive predictive value of Hemoccult test as well as the characteristics of the cancers and adenomas screened during the successive colorectal cancer screening campaigns.METHODS: This study focused on five colorectal cancer mass screening campaigns by Hemoccult test carried out between 1988 and 1996. The test was offered every two years to a cohort of subjects born between 1914 and 1943 and living in some districts of the Sa?ne-et-Loire administrative area.RESULTS: The positivity rate of the test was higher in the first campaign (2.1%) than in the subsequent ones (mean 1.3%). It was also higher in males than in females and it increased with age. After a positive test, 85.4% of the subjects had a colonic exploration. The exploration rate was higher when the test was offered by general practitioners (88.0%) than when it was mailed (77.8%) (P < 0.01). Through this test, cancer was detected in 168 patients, and one adenoma or more in 414 patients. The positive predictive value was 11.4% for cancer, 17.1% for adenoma > or = 1 cm and 11.1 for adenoma < 1 cm. It was higher in males than in females and it increased with age. Depending on the campaigns, 35.9% to 47.3% of the subjects explored after a positive test had a cancer or an adenoma. The screened cancers or adenomas were more often localized in the sigmoid or the rectum. Three quarters of screened cancers were stage I or II (TNM classification). All together, 82.7% of cancers were treated with surgical resection for cure and 10.1% with endoscopic resection.CONCLUSIONS: This work confirms the feasibility of carrying out regular colorectal cancer screening campaigns, through which a few subjects can be selected for undergoing colonic explorations. These latter can detect a cancer or adenoma in 40% of cases.","['Adenoma', 'Aged', 'Aged, 80 and over', 'Colorectal Neoplasms', 'Female', 'France', 'Humans', 'Male', 'Mass Screening', 'Middle Aged', 'Occult Blood', 'Predictive Value of Tests', 'Retrospective Studies']",10429850,"[['C04.557.470.035'], ['M01.060.116.100'], ['M01.060.116.100.080'], ['C04.588.274.476.411.307', 'C06.301.371.411.307', 'C06.405.249.411.307', 'C06.405.469.158.356', 'C06.405.469.491.307', 'C06.405.469.860.180'], ['Z01.542.286'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['E01.370.500', 'E05.318.308.980.438.580', 'N02.421.726.233.443', 'N05.715.360.300.800.438.500', 'N06.850.520.308.980.438.580', 'N06.850.780.500'], ['M01.060.116.630'], ['E01.370.225.925', 'E05.200.925'], ['E05.318.370.800.650', 'N05.715.360.325.700.640', 'N06.850.520.445.800.650'], ['E05.318.372.500.500.500', 'E05.318.372.500.750.750', 'N05.715.360.330.500.500.500', 'N05.715.360.330.500.750.825', 'N06.850.520.450.500.500.500', 'N06.850.520.450.500.750.825']]","['Diseases [C]', 'Named Groups [M]', 'Geographicals [Z]', 'Organisms [B]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Health Care [N]']",0,1,1,0,1,0,0,0,0,0,0,1,1,1
